,miRNA_PC1,miRNA_PC2,miRNA_PC3,miRNA_PC4,miRNA_PC5
TCGA.BH.A204,4.698703088873443,-4.7639225130584935,6.161156266671443,2.3694506891487626,-0.013788997477488095
TCGA.BH.A209,12.133465116700565,-5.1536783910650765,0.679460745042358,-0.3642836024240317,-0.3196859555828793
TCGA.BH.A28Q,-14.045808950986585,-2.0810293678294025,-0.19462882015761068,2.000610017813534,0.3138350898538175
TCGA.BH.A42T,-4.645914539177876,-3.7423287989708385,-1.7768187022180433,0.7270965029969972,2.2645670945202054
TCGA.BH.A42V,-6.139595804009896,5.051604989631337,-5.710268197011253,4.414939875464279,7.114949699675769
TCGA.C8.A1HE,2.661835309789484,0.42950406288609067,8.251969734078468,4.665787420330825,4.748500204780305
TCGA.C8.A1HF,14.397986158742414,2.226580825726741,3.6719135079075005,4.175277524867522,-3.2590622139585066
TCGA.C8.A1HG,16.28033634419291,-0.2997013418008861,4.31965123607916,7.7470185044325905,0.1239289200095824
TCGA.C8.A1HI,-2.619522695180944,0.9149627222445502,8.23905523172115,0.1713352816909237,1.8697811580735495
TCGA.C8.A1HJ,33.985669691029415,-2.40900909441106,-9.803228494546646,1.074331407250645,6.219836074488856
TCGA.C8.A1HK,9.46732461919382,2.1730546699080575,4.195055111336074,-5.433745271177881,-10.067930446244423
TCGA.C8.A1HL,3.050183017252043,-3.877363106155644,9.139901927348161,3.383419434110794,0.9779336723040759
TCGA.C8.A1HM,14.043077891246119,-10.496690588218605,4.875323458071586,4.853674097975941,-0.7307171626884773
TCGA.C8.A1HN,9.737880948131375,-2.696045305562287,6.82099330047401,3.525349759242914,-1.2668548909663906
TCGA.C8.A1HO,12.909199301862037,-3.6833936427504996,9.332746107395328,9.76040514235328,2.3917481855798446
TCGA.C8.A26V,-2.229201550725921,-5.17994731115896,-0.18810307141805768,2.984966870842812,-3.144467482595141
TCGA.C8.A26W,-2.77831729003967,0.26604431087454294,-2.81722121920411,5.039473512775261,-3.3251152301582514
TCGA.C8.A26X,-7.427603402457485,-1.890361151005844,-0.9048750535354667,0.22282356155478622,-1.6365577382069494
TCGA.C8.A26Y,2.8461242176992863,0.7496243613434819,-4.9637929774917255,3.2969123518431327,-2.7325699755188344
TCGA.C8.A26Z,-10.889470742357375,-5.333213803487785,1.1105025249162266,0.39021967034991656,-2.391687997880039
TCGA.C8.A273,-11.632205355278643,-5.659085131840155,-1.0941997482116321,1.6700159296918728,-1.7516710081204383
TCGA.C8.A274,-11.09959710469037,-10.38820746043077,1.3643200863649743,2.0928499241513663,-2.1802569200598323
TCGA.C8.A275,1.1449183947174784,-8.652797113712376,-4.941371147816078,4.2682037638257855,-5.416981514492723
