,RNAseq_PC1,RNAseq_PC2,RNAseq_PC3,RNAseq_PC4,RNAseq_PC5
TCGA.A7.A4SD,-35.2996820147372,-7.902714455918799,1.842172401655485,-0.026410881015572738,-3.5911203239325147
TCGA.A7.A4SE,-30.44476717733801,2.1408646853815316,-12.554863813978825,-8.170133372863058,3.2616226835736946
TCGA.A7.A4SF,6.70552164210448,-10.124479431070464,11.732265269915873,7.028572795091963,-12.457227439118665
TCGA.A7.A5ZV,-30.09996505069282,-20.52297044227403,-19.011185940028714,-1.0930292381453952,-5.267487316884668
TCGA.A7.A5ZW,4.575347705329318,14.91486452601262,-4.886836209912031,-9.512107092887996,0.19263899117334943
TCGA.A7.A5ZX,5.140605909087533,18.259196205202127,-17.24544659540818,-10.281078774462237,-1.7081578660846761
TCGA.AC.A23C,3.7718619391788195,8.330489486483364,8.006911326217654,-6.030061422802791,0.9865869238755296
TCGA.AC.A23E,11.304086681224984,-4.378553128087098,3.4041205245075035,-18.215707865714773,4.705587076334443
TCGA.AC.A23G,-2.2802732658046474,14.024455709971118,-7.912489420131109,-10.249466773075326,2.693496782607961
TCGA.AC.A23H,1.9097222054610046,-20.042964565696785,15.283653188116997,-13.347540466915529,-3.1161581109192618
TCGA.AC.A2B8,8.897917307877977,14.590130193594021,2.5123455401742065,-5.723103476516578,3.324853401089236
TCGA.AC.A2BK,-27.44105104369061,-28.044133875406644,-16.046930036354453,1.3685512082228255,6.840283355592486
TCGA.AC.A2BM,15.184681901900191,-8.622610074390725,1.4758992897497756,18.215966901650205,5.842841359853577
TCGA.AC.A2FB,-1.9014981387355037,24.69209359415689,2.7704940351482357,4.48268374383707,3.8682116873403656
TCGA.AC.A2FE,3.349501032555202,17.503603920667263,2.95176585685323,5.628901386612103,-4.2627553725955805
TCGA.AC.A2FF,-2.5395725896070234,27.428091026432742,-2.066764548280201,0.37546951178257537,10.028427499817015
TCGA.AC.A2FG,5.59464440176308,22.762884324489693,-14.23578745352549,-8.01667519506785,-1.6099700159277077
TCGA.AC.A2FM,16.47790478963501,-5.021520239062612,-7.178952403346493,11.776849916106647,4.4572382519690965
TCGA.AC.A2FO,3.2090743751971202,21.93790830893845,0.6364597288486185,8.755011224712565,3.1996662715881166
TCGA.AC.A2QH,-14.569632198446792,-17.290510843185917,-8.713538201211415,-3.4634518306171245,22.822660402045962
TCGA.AC.A2QI,6.889560595626603,6.585207883185227,2.2240322828169603,-0.4068999132968169,-4.367299968087952
TCGA.AC.A2QJ,-25.456848242175546,-6.552728414901627,-5.044984918969603,3.860509824721621,-12.641222256796485
TCGA.AC.A3BB,4.702727445991787,23.731735909037095,2.455592678221488,5.97620989236264,-6.712378304869259
TCGA.AC.A3EH,8.224390108683519,-3.3979773847505257,0.9479010645673597,-11.014810336056742,-9.895040888060155
